,source,target,oneway,lanes,bridge,frequency,highway,num of detections,width,osmid,geometry,ref,service,maxspeed,length,access,name,tunnel,log_date
212,2263220476,317813125,False,,,0.3333333333333333,track,1,,108910151,"LINESTRING (2.6221385 39.5692713, 2.6221332 39.5692251, 2.6221288 39.5691649, 2.6222779 39.569068, 2.6223999 39.5689986, 2.6225007 39.5688432, 2.6224921 39.5687457, 2.622434 39.568639, 2.6223195 39.5685441, 2.6222563 39.5685376, 2.6221401 39.5684796, 2.6219719 39.5683555)",,,,136.32600000000002,no,,,"03/11/2020, 19:57:46"
213,1357644038,1357644024,False,,,1.0,footway,1,,121228358,"LINESTRING (2.6178906 39.5631943, 2.6178416 39.563137, 2.6179068 39.5629827, 2.6179021 39.5628858, 2.6178509 39.5628069, 2.6177625 39.5627531)",,,,55.923,,,,"03/11/2020, 19:57:46"
214,317813003,317813025,False,,,0.25,footway,1,,108910149,"LINESTRING (2.6193855 39.5661375, 2.6194682 39.5662178, 2.6195312 39.5663749, 2.6195701 39.5665073, 2.6195795 39.5665693)",,,,51.721000000000004,,,,"03/11/2020, 19:57:46"
215,317813003,317813025,False,,,0.25,service,1,,117628948,"LINESTRING (2.6193855 39.5661375, 2.6193309 39.5661968, 2.6192676 39.5662745, 2.6192522 39.5663114, 2.6192522 39.566339, 2.6192659 39.5663772, 2.6192864 39.5664286, 2.6193599 39.5664984, 2.6194163 39.5665327, 2.6194591 39.5665528, 2.6195795 39.5665693)",,,,66.98599999999999,designated,Carretera vella,,"03/11/2020, 19:57:46"
216,317813003,1248426699,False,,,0.25,footway,1,,108910149,"LINESTRING (2.6193855 39.5661375, 2.6193207 39.566041, 2.6192999 39.5658896, 2.6194327 39.565457)",,,,78.444,,,,"03/11/2020, 19:57:46"
217,317813003,1248426699,False,,,0.25,service,1,,117628948,"LINESTRING (2.6193855 39.5661375, 2.6194624 39.5660716, 2.6195171 39.5660084, 2.6195701 39.5659346, 2.6196231 39.5658688, 2.6197017 39.5658029, 2.61977 39.5657476, 2.6197786 39.5657067, 2.6197922 39.5656593, 2.6198059 39.5656237, 2.6198042 39.5655921, 2.6197956 39.5655658, 2.6197649 39.5655408, 2.6197153 39.5655223, 2.6196128 39.5654999, 2.6194327 39.565457)",,,,109.24900000000001,designated,Carretera vella,,"03/11/2020, 19:57:46"
218,5862310156,3748900979,False,,,1.0,footway,1,,620486025,,,,,37.167,,,,"03/11/2020, 19:57:46"
219,1342069005,317813485,False,,,0.3333333333333333,footway,1,,28913708,,,,,8.698,,,,"03/11/2020, 19:57:46"
220,1342069005,1594898117,False,,,0.3333333333333333,footway,1,,28913708,"LINESTRING (2.6190156 39.5700967, 2.6187568 39.5700829, 2.618619 39.5701389, 2.6183682 39.570176, 2.618248 39.5700961, 2.6181704 39.5700778)",,,,78.03800000000001,,,,"03/11/2020, 19:57:46"
221,1342069005,1594916474,False,,,0.3333333333333333,footway,1,,123213691,"LINESTRING (2.6190156 39.5700967, 2.6191112 39.5700812, 2.6191897 39.5700165, 2.6192273 39.5699504, 2.6192434 39.5698677, 2.6192595 39.5697188, 2.619238 39.5695369, 2.6191951 39.5693839, 2.6190932 39.5692763, 2.6187815 39.5686545, 2.6185889 39.5683749, 2.6184226 39.568288, 2.618251 39.5681433, 2.6180779 39.5680254, 2.6179863 39.5679386)",,,,285.281,,,,"03/11/2020, 19:57:46"
